Funding Agencies	Record Count	% of 3,072
Nasa Ocean Surface Topography Science Team Ostst Award	1	0.033
Nasa Ocean Surface Topography Science Team Through Nasa	1	0.033
Nasa Ocean Vector Wind Science Team	1	0.033
Nasa Ocean Vector Wind Science Team Grant	1	0.033
Nasa Oceans Melting Greenland Through The Jet Propulsion Laboratory Jpl Under California Institute Of Technology	1	0.033
Nasa Ostst	1	0.033
Nasa Ostst Program	1	0.033
Nasa P 3 Aircrew	1	0.033
Nasa Pathfinder Program For Eos Products	1	0.033
Nasa Pgg	1	0.033
Nasa Physical Oceanography Cryospheric Science And Modeling Analysis And Prediction Programs	1	0.033
Nasa Physical Oceanography Program Nasa	1	0.033
Nasa Planetary Mission Data Analysis Program	1	0.033
Nasa Projects	1	0.033
Nasa Roses Nra	1	0.033
Nasa Roses Po Award	1	0.033
Nasa Roses Terrestrial Hydrology Program Nasa Roses 2017 Terrestrial Hydrology Filling The Space Time Gaps Between Surface Water Retrievals	1	0.033
Nasa S Airborne Science And Cryospheric Sciences Programs	1	0.033
Nasa S Airborne Science Program	1	0.033
Nasa S Ames Stereo Pipeline Software	1	0.033
Nasa S Application Science Program Under The Servir Project	1	0.033
Nasa S Applied Sciences Program	1	0.033
Nasa S Applied Sciences Program Servir	1	0.033
Nasa S Carbon Monitoring System Initiative	1	0.033
Nasa S Concept In Advanced Geodesy Program	1	0.033
Nasa S Earth And Space Sciences Fellowship	1	0.033
Nasa S Earth Science Information Partnerships Esip A Federation Of Information Sites For Earth Science	1	0.033
Nasa S Earth Science Technology Office	1	0.033
Nasa S Earth Surface Interior Program	1	0.033
Nasa S Geodetic Imaging Program	1	0.033
Nasa S Gnss Remote Sensing Program	1	0.033
Nasa S Goddard Space Flight Center Icesat 2 Project Science Office	1	0.033
Nasa S Grace Program	1	0.033
Nasa S Grace Science Team Program	1	0.033
Nasa S Hydrology Program	1	0.033
Nasa S Ice Bridge Program	1	0.033
Nasa S Icesat 2 Project Science Office	1	0.033
Nasa S Interdisciplinary Science Ids	1	0.033
Nasa S Interdisciplinary Science Ids Program	1	0.033
Nasa S Ipy Program	1	0.033
Nasa S New Investigator Program In Earth Sciences	1	0.033
Nasa S Ocean Science Topography Team	1	0.033
Nasa S Ocean Surface Topography Mission Ostm Projects	1	0.033
Nasa S Operation Icebridge Project Office	1	0.033
Nasa S Ostst	1	0.033
Nasa S Ostst Program	1	0.033
Nasa S Physical Oceanography Ostst	1	0.033
Nasa S Physical Oceanography Program Under The Ocean Topography Science Team	1	0.033
Nasa S Physical Oceanography Programme	1	0.033
Nasa S Planetary Geology And Geophysics	1	0.033
Nasa S Programs In Cryosphere Program	1	0.033
Nasa S Science Directorate	1	0.033
Nasa S Solid Earth And Cryospheric Programs	1	0.033
Nasa S Surfacewater And Ocean Topography Swot Program	1	0.033
Nasa S Swot	1	0.033
Nasa S Swot Mission Program	1	0.033
Nasa S Terrestrial Ecology Carbon Cycle Science And Applied Sciences	1	0.033
Nasa S Terrestrial Hydrology Program Thp	1	0.033
Nasa S Topex Poseidon Jason Program	1	0.033
Nasa S Trmm Science Team	1	0.033
Nasa Science Directorate Ocean Surface Topography Science Team Project	1	0.033
Nasa Science Mission Directorate Smd Maturation Of Instrument Technologies For Solar System Exploration Matisse Program	1	0.033
Nasa Science Team Grant	1	0.033
Nasa Sea Level Change Science Team	1	0.033
Nasa Sea Level Change Science Teams	1	0.033
Nasa Sea Level Change Team Nslct	1	0.033
Nasa Senior Fellowship	1	0.033
Nasa Senior Npp Fellowship	1	0.033
Nasa Servir Applied Sciences Team	1	0.033
Nasa Sevir Program	1	0.033
Nasa Solar System Workings Grant	1	0.033
Nasa Studies With Icesat 2 Program	1	0.033
Nasa Studies With Icesat 2 Programme	1	0.033
Nasa Subcontract To Boston University	1	0.033
Nasa Surface Water And Ocean Topography Mission	1	0.033
Nasa Surface Water And Ocean Topography Mission Grant	1	0.033
Nasa Surface Water And Ocean Topography Satellite Mission	1	0.033
Nasa Surface Water And Ocean Topography Science Definition Team Grant	1	0.033
Nasa Swot	1	0.033
Nasa Swot Algorithm Definition Team	1	0.033
Nasa Swot Project	1	0.033
Nasa Swot Science Definition Team	1	0.033
Nasa Swot Science Definition Team Grant	1	0.033
Nasa Swot Science Team And Terrestrial Hydrology Programs	1	0.033
Nasa Swot Science Team Funding	1	0.033
Nasa Terrestrial Ecology Program Arctic Boreal Vulnerability Experiment Above Grant	1	0.033
Nasa Terrestrial Ecology Programas Part Of The Arctic Boreal Vulnerability Experiment Above	1	0.033
Nasa Thp Grant	1	0.033
Nasa Through A Nasa Earth Science Student Fellowship	1	0.033
Nasa Through Jpl	1	0.033
Nasa Through The Ocean Surface Topography Program	1	0.033
Nasa Through The Sea Level Change Team	1	0.033
Nasa Under A Research Opportunities In Space And Earth Sciences Roses Grant	1	0.033
Nasa Under Research Opportunities In Space And Earth Sciences Roses Grant	1	0.033
Nasa Under The Ocean Surface Topography Mission Ostm	1	0.033
Nasa Unh Research And Discover	1	0.033
Nasa Water	1	0.033
Nasa Water Resources Applied Science Grant	1	0.033
National Academies Of Sciences Grant	1	0.033
National Aeronautic And Space Administration As Part Of The Nasa Grant	1	0.033
National Aeronautic And Space Administration Nasa Ocean Salinity Science Team	1	0.033
National Aeronautics And Space Administration Astrobiology And Cryospheric Sciences Programs	1	0.033
National Aeronautics And Space Administration At Mit	1	0.033
National Aeronautics And Space Administration Cryospheric Sciences Branch	1	0.033
National Aeronautics And Space Administration Grants	1	0.033
National Aeronautics And Space Administration Jet Propulsion Laboratory	1	0.033
National Aeronautics And Space Administration Nasa Applied Sciences	1	0.033
National Aeronautics And Space Administration Nasa Cryosphere Program For The Icesat 2 Science Definition Team	1	0.033
National Aeronautics And Space Administration Nasa Earth And Space Science Fellowship Grant	1	0.033
National Aeronautics And Space Administration Nasa Earth And Space Science Graduate Student Fellowship	1	0.033
National Aeronautics And Space Administration Nasa Earth Science Division	1	0.033
National Aeronautics And Space Administration Nasa Initiative Servir	1	0.033
National Aeronautics And Space Administration Nasa Ocean Surface Topography Mission	1	0.033
National Aeronautics And Space Administration Nasa Ocean Vector Winds Science Team	1	0.033
National Aeronautics And Space Administration Nasa Physical Oceanography Program	1	0.033
National Aeronautics And Space Administration Nasa Post Doctoral Program At The Nasa Langley Research Center	1	0.033
National Aeronautics And Space Administration Nasa Under Nsf Cooperative Agreement	1	0.033
National Aeronautics And Space Administration Research Opportunities In Solid Earth Science Grant	1	0.033
National Aeronautics And Space Administration S Icesat 2 Science Definition Project	1	0.033
National Aeronautics And Space Administration S New Investigator Program In Earth Science	1	0.033
National Aeronautics And Space Administration Science Directorate	1	0.033
National Aeronautics And Space Administration Through Roses Physical Oceonography	1	0.033
National Aeronautics And Space Administration Through The Earth And Space Science Fellowship	1	0.033
National Aeronautics And Space Administration Through The Jason Science Working Team Jpl Contract	1	0.033
National Aeronautics And Space Administration Through The Ocean Surface Topography Program	1	0.033
National Aeronautics And Space Administration Under The Ocean Surface Topography Program	1	0.033
National Aeronautics And Space Adminstration S Polar Program	1	0.033
National Center For Atmospheric Research	1	0.033
National Center For Atmospheric Research Ncar National Science Foundation Nsf	1	0.033
National Center For Environmental Prediction National Center For Atmospheric Research Ncep Ncar	1	0.033
National Central University	1	0.033
National Centre For Research And Development Poland Through Grant Artemis	1	0.033
National Cheng Kung University	1	0.033
National Chung Kung University Taiwan	1	0.033
National Council For Scientific Research Of Lebanon Cnrs L	1	0.033
National Defense Science And Engineering Graduate Ndseg	1	0.033
National Environment Research Council Studentship	1	0.033
National Environmental Science Programme Nesp	1	0.033
National Foundation For Science Technology Development Nafosted	1	0.033
National Geospatial Intelligence Agency Grant	1	0.033
National Geospatial Intelligence Agency Nga Nga University Research Initiative Nuri	1	0.033
National Geospatial Intelligence Agency Nga Nuri	1	0.033
National Geospatial Intelligence Agency Nga Nuri Grant	1	0.033
National Geospatial Intelligence Agency S University Initiative Nuri	1	0.033
National Geospatial Intelligence Agency S University Research Initiatives Nuri	1	0.033
National Geospatial Intelligence Agency S University Research Initiatives Nuri Program	1	0.033
National Geospatial Intelligence Agency Through Baa	1	0.033
National Geospatial Intelligence Agency Under Nuri	1	0.033
National Global Change Major Research Project Of China	1	0.033
National High Technology Grant Of China	1	0.033
National Ice Center	1	0.033
National Institute For Climatic Change Research Niccr	1	0.033
National Institute Of Food And Agriculture Hatch Program Of Theunited States Department Of Agriculture Washington D C	1	0.033
National Institute Of Oceanography Goa	1	0.033
National Institutes Of Health Nih Usa	1	0.033
National Key Project Of Research And Development Plan Of China	1	0.033
National Key R And D Program Of China	1	0.033
National Key Ramp D Program Of China	1	0.033
National Key Research And Development Plan Of China	1	0.033
National Key Research And Development Program	1	0.033
National Key Research And Development Program Of China China	1	0.033
National Key Research Development Program Of China	1	0.033
National Key Research Programs Of China	1	0.033
National Key Scientific Research Project The South China Sea Deep	1	0.033
National Key Technology Ramp D Program Of China	1	0.033
National Natural Science Foundation Of China Excellent Youth Science Foundation Of Jiangsu Province	1	0.033
National Natural Science Foundation Of China National Sciencefoundation Of China For Outstanding Young Scientist	1	0.033
National Natural Science Foundation Of Shandong	1	0.033
National Ocean Partnership Program Ecco	1	0.033
National Ocean Partnership Program Nopp	1	0.033
National Oceanic And Atmospheric Administration At The International Pacific Research Center Iprc	1	0.033
National Oceanic And Atmospheric Administration Noaa Restore Act Science Program	1	0.033
National Oceanic And Atmospheric Administration Noaa S Ocean Remote Sensing Program	1	0.033
National Oceanic And Atmospheric Administration Through The Ocean Remote Sensing Program	1	0.033
National Park Service	1	0.033
National Project Of Fundamental Work For Science And Technology Of China	1	0.033
National Renewable Energy Lab Department Of Energy	1	0.033
National Research Council	1	0.033
National Research Council For A Research Associateship At The Naval Postgraduate School Comments Of Prof J Mcwilliams	1	0.033
National Research Council Research Associateship Award At Noaa Pmel	1	0.033
National Research Council Research Associateship Award At The National Oceanic And Atmospheric Administration Pacific Marine Environmental Laboratory	1	0.033
National Research Council Taiwan	1	0.033
National Research Foundation In Singapore Nrf Nsfc	1	0.033
National Research Foundation Of Korea Nrf By Korea Government Msip	1	0.033
National Research Foundation Of Korea Nrf Under The Space Core Technology Development Program	1	0.033
National Research Foundation Singapore Under Its Nrf Investigatorship Scheme National Research Investigatorship Award	1	0.033
National Science And Technology Major Project Of The Ministry Of Science And Technology Of China	1	0.033
National Science Foundation Cpt	1	0.033
National Science Foundation Hydrology	1	0.033
National Science Foundation Infews	1	0.033
National Science Foundation Oce Grant	1	0.033
National Science Foundation Of Chile Fondecyt Under The Fondecyt Regular Grant	1	0.033
National Science Foundation Research Experience For Undergraduates Program In Astronomy And Astrophysics At Cornell University	1	0.033
National Science Foundation S National Center For Airborne Laser Mapping	1	0.033
National Science Foundation S Physical Oceanography Program	1	0.033
National Science Foundation S Stc Program	1	0.033
National Soft Science Research Program Of China	1	0.033
National Special Basic Research Project Of Ministry Of Science And Technology	1	0.033
National Special Research Fund For Non Profit Marine Sector	1	0.033
National University Of Singapore	1	0.033
National Weather Service Office Of Science And Technology Nws Ost	1	0.033
Nato Allied Command Transformation Act Usa	1	0.033
Natural Environment Research Council British Antarctic Survey Polar Science For Planet Earth Programme	1	0.033
Natural Environment Resources Council	1	0.033
Natural Environmental Research Council Project Diatomarctic	1	0.033
Natural Science Foundation Of Hubei Province	1	0.033
Natural Science Foundation Of Hunan Province	1	0.033
Natural Science Foundation Of Jiangsu Higher Education Institutions Of China	1	0.033
Natural Science Foundation Of Shandong Province	1	0.033
Natural Science Foundation Of Zhejiang Province	1	0.033
Natural Sciences And Engineering Council Of Canada Nserc Collaborative Research And Development Project Baysys	1	0.033
Naval Oceanographic Office	1	0.033
Naval Oceanographic Office Oceanographic Department	1	0.033
Naval Research Laboratory Base Program Submesoscale Prediction Of Eddies By Altimeter Retrieval Spear	1	0.033
Naval Research Laboratory Cooperative Agreement	1	0.033
Naval Research Laboratory Karle S Fellowship	1	0.033
Naval Research Laboratory Nrl	1	0.033
Naval Research Laboratory Stennis Space Center Ms	1	0.033
Navy Dsrc	1	0.033
Nc Ocean Energy Project	1	0.033
Nc Space Grant	1	0.033
Ncdc Pacific Storms Climatology Products Project From East West Center	1	0.033
Nceo Eo	1	0.033
Nceo Part Of The U K Natural Environment Research Council	1	0.033
Ncsa	1	0.033
Nep Globec	1	0.033
Nerc Arctic Research Programme Tea Cosi Project	1	0.033
Nerc Arsf Fsf	1	0.033
Nerc Diatom Arctic	1	0.033
Nerc Gef	1	0.033
Nerc National Capability Funding Via Noc	1	0.033
Nerc National Centre For Earth Observation Nceo	1	0.033
Nerc Project Premelt	1	0.033
Nerc Via The Bas Polar Oceans Strategic Research Programme	1	0.033
Nersc	1	0.033
Netherlands Organisation For Scientific Research Nwo Through The Gales Gas Leaks From Space Project By The Dutch Technology Foundation Netherlands Organisation For Scientific Research Nwo	1	0.033
Netherlands Organization For Scientific Research As Part Of The New Netherlands Polar Programme	1	0.033
Netherlands Vertical Reference Frame Nevref Project	1	0.033
Network On Arctic Glaciology Nag Of The International Arctic Science Committee Iasc	1	0.033
New Initiative Funds	1	0.033
New Investigator Program	1	0.033
New Jersey Sea Grant Project	1	0.033
New Zealand Antarctic Research Institute	1	0.033
New Zealand Deep South National Challenge	1	0.033
New Zealand Government	1	0.033
New Zealand Strategic Science Investment Funded Ssif Programme Marine Geological Resources Of Niwa	1	0.033
Nga	1	0.033
Ngs	1	0.033
Nih National Institute Of Environmental Health Sciences Niehs	1	0.033
Nio	1	0.033
Nio Under The Adjunct Scientist Scheme Of Csir	1	0.033
Nippon Foundation Gebco Seabed 2030 Project	1	0.033
Noaa Atlantic Oceanographic And Meteorological Laboratory Under The Cooperative Institute Of Marine And Atmospheric Studies Cimas Of The University Of Miami	1	0.033
Noaa Center For Coastal And Marine Ecosystems Noaa Office Of Education Educational Partnership Program	1	0.033
Noaa Center For Sponsored Coastal Ocean Research	1	0.033
Noaa Cioss	1	0.033
Noaa Climate And Global Change Postdoctoral Fellowship Program	1	0.033
Noaa Climate Data Record Cdr Program For Satellites	1	0.033
Noaa Climate Observations And Monitoring Com Program	1	0.033
Noaa Climate Program Office Global Ocean Monitoring And Observing Program	1	0.033
Noaa Climate Program Office In Support Of The University Of Hawaii Sea Level Center	1	0.033
Noaa Climate Program Office Noaa Research	1	0.033
Noaa Climate Program Office S Climate Change Data And Detection Program	1	0.033
Noaa Climate Program Office S Modeling Analysis Predictions And Projections Mapp Program	1	0.033
Noaa Cooperative Institute For Climate And Satellites	1	0.033
Noaa Cpo Oomd	1	0.033
Noaa Deepwater Horizon Supplemental Funding Noaa Global Drifter Program	1	0.033
Noaa For The Implementation Of The Mid Atlantic Regional Association Coastal Ocean Observing System Maracoos	1	0.033
Noaa Global Carbon Cycle	1	0.033
Noaa Global Ocean Monitoring And Observing Program Under The Xbt Project	1	0.033
Noaa Hab Research Program	1	0.033
Noaa Integrated Ocean Observing System Ioos Through Alaska Ocean Observing System Adds	1	0.033
Noaa Integrated Ocean Observing System Ioos Through Southern California Coastal Ocean Observing System Sccoos	1	0.033
Noaa Ioos Program Through Cencoos	1	0.033
Noaa Jason 2 Program	1	0.033
Noaa Nos Coastal Storms Project	1	0.033
Noaa Ocean Remote Sensing Program	1	0.033
Noaa Oceanwatch	1	0.033
Noaa Office Of Atmospheric And Oceanic Research Oar	1	0.033
Noaa Office Of Climate	1	0.033
Noaa Office Of Climate Observations Oco	1	0.033
Noaa Office Of Weather And Air Quality Through The Osse Testbed	1	0.033
Noaa Oomd	1	0.033
Noaa Oppa Technology Maturation Program	1	0.033
Noaa Physical Sciences Laboratory	1	0.033
Noaa S Center For Sponsored Coastal Ocean Research Award	1	0.033
Noaa S Climate Observation Division	1	0.033
Noaa S Climate Project Office	1	0.033
Noaa S Climate Variability And Predictability Program	1	0.033
Noaa S Cooperative Institute For Great Lakes Research University Of Michigan	1	0.033
Noaa S Essential Fish Habitat Efh Habitat And Ecological Processes Research Hepr Through The Nmfs Alaska Regional Office	1	0.033
Noaa S Laboratory For Satellite Altimetry	1	0.033
Noaa S Ocean Observation And Monitoring Division	1	0.033
Noaa S Office Of Coast Survey	1	0.033
Noaa Science Box Grant	1	0.033
Noaa Southeast Fisheries Science Center	1	0.033
Noaa Through Secoora	1	0.033
Noaa Through Southeast Coastal Ocean Regional Association Secoora As Pass Through From The Noaa Ioos Program Office	1	0.033
Noaa Through State Of Fl For Our Coastal Ocean Monitoring And Prediction System Comps Program And Collaboration For Prediction Of Red Tides Cpr	1	0.033
Noaa Through The Ecpc	1	0.033
Noaa University Of Miami Cooperative Institute For Marine And Atmospheric Science Cimas	1	0.033
Noc Southampton	1	0.033
Non Profit Industry Financial Program Of The Ministry Of Water Resources	1	0.033
Nordic Top Level Research Initiative	1	0.033
Northern Oil And Gas Research Initiative	1	0.033
Northern Scientific Training Program Nstp	1	0.033
Norwegian Centre For Integrated Remote Sensing And Forecasting For Arctic Operations Cirfa Under Research Council Of Norway	1	0.033
Norwegian Polar Institute	1	0.033
Norwegian Program For Supercomputing Notur Project	1	0.033
Norwegian Research Council Through The International Polar Year Ipy Project Glaciodyn	1	0.033
Norwegian Space Center As Part Of The Cryosat Program	1	0.033
Nps Through The National Council For Science And Technology Mexico	1	0.033
Nrf Grant Via A South African Post Doctoral Fellowship	1	0.033
Nrf Sanap Samoc Sa Programme	1	0.033
Nrl	1	0.033
Nrl Project Slope To Shelf Energetics And Exchange Dynamics	1	0.033
Nrl Ssc	1	0.033
Nrl Work Unit Submesoscale Prediction Of Eddies From Altimeter Retrieval Spear	1	0.033
Nscf Project	1	0.033
Nserc Crsng Visiting Fellowship In Canadian Laboratories Of The Dfo International Governance Strategy Igs	1	0.033
Nserc Postdoctoral Fellowship Through Environment Canada	1	0.033
Nsf Belmont Forum Project	1	0.033
Nsf Ear Earthscope Project	1	0.033
Nsf Ear Postdoctoral Fellowship Grant	1	0.033
Nsf Noaa Us Northeast Pacific Program Nep Globec	1	0.033
Nsf Nordic Research Opportunity Fellowship	1	0.033
Nsf Opp Award	1	0.033
Nsf Opp Grant	1	0.033
Nsf Opp Program	1	0.033
Nsf Plr	1	0.033
Nsf Research Experience For Undergraduates Reu	1	0.033
Nsf Through The Belmont Forum Igfa	1	0.033
Nsf Through The Moby Project	1	0.033
Nsf Via The Belmont Forum Igfa	1	0.033
Nsf Via The Belmont Forum Igfa Grant	1	0.033
Nsf Via The Moby Project	1	0.033
Nsfc Cgiar	1	0.033
Nsfc Mainland China	1	0.033
Nsfc Special Program	1	0.033
Nuist Startup Grants	1	0.033
Nvidia	1	0.033
Nwo Alw Netherlands Organization Of Scientific Research Earth And Life Sciences Division	1	0.033
Nwo Alw Veni Grant	1	0.033
Ocean Biology Processing Group Obpg At Nasa S Goddard Space Flight Center	1	0.033
Ocean Climate Change Analysis Projections Adaptation Occapa Ministry Of Oceans And Fisheries Korea	1	0.033
Ocean Foundation	1	0.033
Ocean Surface Topography Mission Ostm Projects	1	0.033
Ocean Surface Topography Program Of The National Aeronautics And Space Administration	1	0.033
Ocean Surface Topography Science Team Ostst Foam Project	1	0.033
Ocean Surface Topography Science Team Through Nasa	1	0.033
Ocean Tracking Network Otn	1	0.033
Ocean Vector Winds Science Teams	1	0.033
Oceanography At Uri	1	0.033
Oceans Melting Greenland Mission	1	0.033
Octave Development Community	1	0.033
Office Of Environment And Heritage New South Wales	1	0.033
Office Of Naval Reseach	1	0.033
Office Of Naval Research As Part Of The Naval Research Laboratory S Basic Research Project Slope To Shelf Energetics And Exchange Dynamics Seed	1	0.033
Office Of Naval Research Nrl Program Elements	1	0.033
Office Of Naval Research Onr As A Part Of The Project Coupled Process Studies And Numerical Simulations Of Channel Sand Dynamics In Tide Dominated River Channels A Mekong Delta Case Study	1	0.033
Office Of Naval Research Onr Through The Earth Systems Prediction Capability	1	0.033
Office Of Naval Research Physical Oceanography	1	0.033
Office Of Naval Research Through Irregular Multiresolution Database Algorithm Base Program Project At The Naval Research Laboratory	1	0.033
Office Of Naval Research Under The National Oceanography Partner Program	1	0.033
Office Of Polar Programs Of The Us National Science Foundation	1	0.033
Office Of Research And Applications Of The National Oceanic And Atmospheric Administration Noaa	1	0.033
Office Of Science Of The U S Department Of Energy Earth System Modeling Program Through The Accelerated Climate Modeling For Energy Acme Project	1	0.033
Ohio State University S Climate Water And Carbon Cwc Program	1	0.033
Old Dominion University S Climate Change And Sea Level Rise Initiative	1	0.033
Onr 6 1	1	0.033
Onr Arctic Grants	1	0.033
Onr Cblast Program	1	0.033
Onr Direct Research Initiative Northern Arabian Sea Circulation Autonomous Research Projects	1	0.033
Onr Global Grant	1	0.033
Onr Grant At The University Of Washington	1	0.033
Onr Grants	1	0.033
Onr Itop Program	1	0.033
Onr Nascar Northern Arabian Sea Circulation Autonomous Research Award	1	0.033
Onr Project Flow Encountering Abrupt Topography Fleat	1	0.033
Onr Project Origins Of The Kuroshio And Mindanao Current	1	0.033
Onr Stratified Ocean Dynamics Of The Arctic	1	0.033
Ontario Research Fund	1	0.033
Open Fund From State Key Laboratory Of Remote Sensing Science Chinese Academy Of Sciences	1	0.033
Open Fund Of Key Laboratory Of Geospace Environment And Geodesy Ministry Of Education Wuhan University	1	0.033
Open Fund Of State Key Laboratory Of Geodesy And Earth S Dynamics	1	0.033
Open Fund Of State Key Laboratory Of Remote Sensing Science	1	0.033
Open Fund Of State Key Laboratory Of Satellite Ocean Environment Dynamics	1	0.033
Open Fund Of The Jiangsu Key Laboratory Of Coast Ocean Resources Development And Environment Security	1	0.033
Open Funding Of Jiangsu Key Laboratory Of Coast Ocean Resources Development And Environment Security Hohai University	1	0.033
Open Project Program Of State Key Laboratory Of Tropical Oceanography	1	0.033
Open Research Fund Of Key Laboratory Of Tibetan Environmental Changes And Land Surface Processes In Cas	1	0.033
Open Research Fund Of State Key Laboratory Of Simulation And Regulation Of Water Cycle In River Basin China Institute Of Water Resources And Hydropower Research	1	0.033
Open Research Fund Of The Jiangsu Key Laboratory Of Coast Ocean Resources Development And Environment Security Hohai University	1	0.033
Open Research Fund Of The State Key Laboratory Of Information Engineering In Surveying Mapping And Remote Sensing	1	0.033
Open University Faculty Of Science Technology Engineering And Mathematics	1	0.033
Opening Project Of Shanghai Key Laboratory Of Space Navigation Of Positioning Techniques	1	0.033
Orange County Sanitation District	1	0.033
Orbiter And Radiometric Systems Group At Nasa Jet Propulsion Laboratory	1	0.033
Osso Blue	1	0.033
Ostm At Jpl	1	0.033
Ostst	1	0.033
Ostst Science Team	1	0.033
Outstanding Innovative Talent Programme Of Hohai University	1	0.033
Ovalie Project From Esa Living Planet Fellowship	1	0.033
Pacific Boundary Ecosystem And Climate Project	1	0.033
Papd Priority Academic Program Development Of Jiangsu Provincial Universities	1	0.033
Papd Program	1	0.033
Pemex Under Cicese Pemex Sap	1	0.033
Penzance Endowed Fund In Support Of Assistant Scientists At The Woods Hole Oceanographic Institution	1	0.033
People Trust For Endangered Species For Uruguay	1	0.033
Perseus Eu	1	0.033
Perseus Fp7 Projects	1	0.033
Phillip Leverhulme Prize Award	1	0.033
Phod	1	0.033
Physical Oceanography Distributed Active Archive Center	1	0.033
Physical Oceanography Division Phod Of Noaa S Aoml	1	0.033
Physical Oceanography Po And Modeling Analysis And Prediction Map Programs	1	0.033
Physical Oceanography Program At The National Science Foundation	1	0.033
Physical Oceanography Program Of The U S Nsf	1	0.033
Piddef	1	0.033
Pirata Project	1	0.033
Polar Geospatial Center Under Nsf Opp Awards	1	0.033
Pontificia Universidad Catolica De Valparaiso	1	0.033
Posgrado En Ciencias Del Mar Y Limnologia At Universidad Nacional Autonoma De Mexico	1	0.033
Postdoctoral Scholar Program At The Woods Hole Oceanographic Institution	1	0.033
Postgraduate Research Practice Innovation Program Of Jiangsu Province	1	0.033
President S Fund Program	1	0.033
Prince Albert Ii De Monaco Foundation	1	0.033
Princeton Aos	1	0.033
Princeton Environmental Institute At Princeton University Through The Smith Newton Scholars Program	1	0.033
Princeton University	1	0.033
Priority Academic Program Development Of Jiangsu Higher Education Institutions Of China	1	0.033
Priority Academic Programme Development Of Jiangsu Higher Education Institutions	1	0.033
Professional Human Resource Training Project Of Korea Maritime And Ocean University In The Kmou Kiost Ocean Science And Technology	1	0.033
Program For Innovation Research And Entrepreneurship Teams In Jiangsu Province	1	0.033
Programa Antartico Brasileiro Proantar	1	0.033
Programme National De Teledetection Spatiale	1	0.033
Project Ageostrophic Vorticity Dynamics Of The Ocean	1	0.033
Project Ageostrophic Vorticity Dynamics Of The Ocean Onr	1	0.033
Project Carbama Carbon Biogeochemistry And Atmospheric Exchanges In The Amazon River System	1	0.033
Project Cryosat Antarctica	1	0.033
Project Eddy Resolving Global Ocean Prediction Including Tides	1	0.033
Project Entitled Ocean Climate Change Analysis Projections Adaptation Occapa Ministry Of Land Transport And Maritime Affairs Korea	1	0.033
Project Global And Remote Littoral Forcing In Global Ocean Models	1	0.033
Project Global And Remote Littoral Forcing In Global Ocean Models Onr	1	0.033
Project Mhyzpa Modelisation De L Hydrologie Des Zones D Inondation De La Plaine Centrale Amazonienne	1	0.033
Project Modelacion Biofisica Del Jurel En El Pacifico Suroriental Y Su Impacto En La Actividad Pesquera Chilena Pai Program Conicyt Chile	1	0.033
Project Of Enhancing School With Innovation Of Guangdong Ocean University	1	0.033
Project Of Global Change And Air Sea Interaction	1	0.033
Project Polar Snow	1	0.033
Project Sensing And Predicting Underwater Noise Using Robotic Platforms And Forecast Models For Maritime Isr Nato Allied Command Transformation Act	1	0.033
Project Solar Portuguese Foundation For Science And Technology Fct	1	0.033
Projects Titled Research For Applications Of Geostationary Ocean Color Imager Goci Ministry Of Oceans And Fisheries Korea	1	0.033
Projet Samoc	1	0.033
Promice And Glaciobasis	1	0.033
Public Ocean Science And Technology Research Funds	1	0.033
Public Science And Technology Research Funds Projects Of Ocean Of State Oceanic Administration People S Republic Of China	1	0.033
Pwssc Project	1	0.033
Qianren Project	1	0.033
Qingdao National Laboratory For Marine Science And Technology	1	0.033
Rapid Response	1	0.033
Regents Faculty Fellowship	1	0.033
Region Bretagne	1	0.033
Region Bretagne Through L Allocations De Recherche Doctorale Ared	1	0.033
Regional And Global Climate Modeling Program Of The Us Department Of Energy Office Of Science	1	0.033
Regional And Global Model Analysis Component Of The Earth And Environmental System Modeling Program Of The Us Department Of Energy S Office Of Biological Environmental Research Via National Science Foundation	1	0.033
Regional And Global Model Analysis Rgma Component Of The Earth And Environmental System Modeling Program Of The U S Department Of Energy S Office Of Biological And Environmental Research Ber Via National Science Foundation	1	0.033
Regional And Global Model Analysis Rgma Component Of The Earth And Environmental System Modeling Program Of The U S Department Of Energy S Office Of Biological Environmental Research Ber Via National Science Foundation	1	0.033
Research Associateship	1	0.033
Research Computing Services Of The University Of Melbourne	1	0.033
Research Experience For Undergraduate	1	0.033
Research Foundation Of Education Bureau Of Hunan Province China	1	0.033
Research Partnerships Of Ocean Global Observation Fellowship	1	0.033
Rhodium Group Climate Impact Lab Consortium	1	0.033
Rio Grande Do Sul State Research Funding Agency Fapergs	1	0.033
Ris 3 Po Feder Canarias Through Project Boundary Ministerio De Ciencia Innovacion Y Universidades Of The Spanish Government	1	0.033
Roger And Victoria Sant	1	0.033
Rose Joseph Summers Endowment	1	0.033
Rosenstiel School Of Marine And Atmospheric Sciences Rsmas	1	0.033
Royal Astronomical Society	1	0.033
Royal Swedish Academy Of Sciences	1	0.033
Rtra Stae	1	0.033
Russ College Of Engineering And Technology	1	0.033
Russian Federal Targeted Program	1	0.033
Rutgers University	1	0.033
S Mode Project	1	0.033
Safea International Partnership Program For Creative Research Teams	1	0.033
Saga Project Ministerio De Ciencia Innovacion Y Universidades Of The Spanish Government	1	0.033
Saic	1	0.033
Saint Petersburg State University	1	0.033
Saint Petersburg State University Russia	1	0.033
