Editors	Record Count	% of 8,505
Cosh MH	1	0.012
Crosetto M	1	0.012
Culshaw B	1	0.012
Cummins PR	1	0.012
Cunjak RA	1	0.012
Cuzzocrea A	1	0.012
Dadswell MJ	1	0.012
Damario LA	1	0.012
Damaske D	1	0.012
Danesy D	1	0.012
Dat PT	1	0.012
Dawe EG	1	0.012
Deendarlianto	1	0.012
Dejhalla R	1	0.012
Deng H	1	0.012
Dereniak EL	1	0.012
Dermanis A	1	0.012
Desai PN	1	0.012
Dick S	1	0.012
Digonnet MJF	1	0.012
Dittman MG	1	0.012
Dittus H	1	0.012
Dobretsov N	1	0.012
Doytsher Y	1	0.012
Dubinskii M	1	0.012
Durst SM	1	0.012
Dvoracek P	1	0.012
Dvorik V	1	0.012
Elatter EE	1	0.012
Elbadawy ES	1	0.012
Elberink SO	1	0.012
Eller TJ	1	0.012
Ellul C	1	0.012
Elmansouri B	1	0.012
Elner R	1	0.012
Endo T	1	0.012
Engvold O	1	0.012
Entekhab D	1	0.012
Entin J	1	0.012
Erba E	1	0.012
Ernst J	1	0.012
Esteban M	1	0.012
Estupina VB	1	0.012
Evered KT	1	0.012
Exarhos GJ	1	0.012
Fan H	1	0.012
Fan X	1	0.012
Fang J	1	0.012
Farzaneh H	1	0.012
Fellous JL	1	0.012
Fernandez JA	1	0.012
Flechtner F	1	0.012
Fleming JC	1	0.012
Foulger GR	1	0.012
Fox P	1	0.012
Franks S	1	0.012
Frazier W	1	0.012
