Publication Titles	Record Count	% of 94,965
JOURNAL OF THE GEOLOGICAL SOCIETY OF INDIA	45	0.047
LATIN AMERICAN JOURNAL OF AQUATIC RESEARCH	45	0.047
MATHEMATICAL PROBLEMS IN ENGINEERING	45	0.047
MEASUREMENT	45	0.047
MEASUREMENT SCIENCE AND TECHNOLOGY	45	0.047
STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT	45	0.047
CANADIAN JOURNAL OF EARTH SCIENCES	44	0.046
GEODESY FOR PLANET EARTH PROCEEDINGS OF THE 2009 IAG SYMPOSIUM	44	0.046
HYDROLOGY	44	0.046
SCIENTIFIC DATA	44	0.046
ACTA PHYSICA SINICA	43	0.045
DIVERSITY AND DISTRIBUTIONS	43	0.045
BULLETIN OF MARINE SCIENCE	42	0.044
INTERNATIONAL GEOLOGY REVIEW	42	0.044
JOURNAL OF COMPUTATIONAL PHYSICS	42	0.044
MARINE GEOPHYSICAL RESEARCHES	42	0.044
ACTA GEODYNAMICA ET GEOMATERIALIA	41	0.043
BOREAS	41	0.043
HYDROLOGY RESEARCH	41	0.043
IEEE AEROSPACE CONFERENCE PROCEEDINGS	41	0.043
REMOTE SENSING APPLICATIONS SOCIETY AND ENVIRONMENT	41	0.043
2010 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM	40	0.042
GISCIENCE REMOTE SENSING	40	0.042
JOURNAL OF SPACECRAFT AND ROCKETS	40	0.042
GEOGRAFISKA ANNALER SERIES A PHYSICAL GEOGRAPHY	39	0.041
GEOLOGICAL MAGAZINE	39	0.041
IGARSS 2003 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM VOLS I VII PROCEEDINGS	39	0.041
JOURNAL OF WATERWAY PORT COASTAL AND OCEAN ENGINEERING	39	0.041
TELLUS SERIES B CHEMICAL AND PHYSICAL METEOROLOGY	39	0.041
CIENCIAS MARINAS	38	0.040
INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH	38	0.040
