Affiliations	Record Count	% of 94,965
ISTITUTO NAZIONALE DI OCEANOGRAFIA E DI GEOFISICA SPERIMENTALE	271	0.285
DELTARES	270	0.284
MACQUARIE UNIVERSITY	270	0.284
EAST CHINA NORMAL UNIVERSITY	269	0.283
EC JRC ISPRA SITE	269	0.283
OLD DOMINION UNIVERSITY	269	0.283
UNIVERSITY OF POTSDAM	268	0.282
UNIVERSITE COTE D AZUR	266	0.280
POLISH ACADEMY OF SCIENCES	265	0.279
NATIONAL CENTRAL UNIVERSITY	264	0.278
NORTH CAROLINA STATE UNIVERSITY	264	0.278
UNIVERSITE DE BORDEAUX	260	0.274
UNIVERSITY OF QUEBEC	257	0.271
KYUSHU UNIVERSITY	256	0.270
SCIENCE SYSTEMS AND APPLICATIONS INC	256	0.270
UNIVERSITY OF CALGARY	256	0.270
UNIVERSITY OF PLYMOUTH	256	0.270
CHINA METEOROLOGICAL ADMINISTRATION	255	0.269
UNIVERSITY OF LIVERPOOL	255	0.269
UNIVERSITY OF SOUTHERN CALIFORNIA	255	0.269
UNIVERSITY OF KANSAS	253	0.266
UNIVERSITY OF ST ANDREWS	253	0.266
FINNISH METEOROLOGICAL INSTITUTE	251	0.264
JAMES COOK UNIVERSITY	249	0.262
SWANSEA UNIVERSITY	249	0.262
UNIVERSITE CONFEDERALE LEONARD DE VINCI	248	0.261
MONASH UNIVERSITY	247	0.260
NANYANG TECHNOLOGICAL UNIVERSITY	246	0.259
NANYANG TECHNOLOGICAL UNIVERSITY NATIONAL INSTITUTE OF EDUCATION NIE SINGAPORE	246	0.259
SHANDONG UNIVERSITY OF SCIENCE TECHNOLOGY	246	0.259
INSTITUT D ESTUDIS ESPACIALS DE CATALUNYA IEEC	245	0.258
UNIVERSITE LIBRE DE BRUXELLES	243	0.256
UNIVERSITY OF ILLINOIS SYSTEM	243	0.256
UNIVERSITY OF SOUTH CAROLINA COLUMBIA	243	0.256
UNIVERSITY OF SOUTH CAROLINA SYSTEM	243	0.256
CLS	242	0.255
NAGOYA UNIVERSITY	240	0.253
UNIVERSITY OF HOUSTON	240	0.253
UNIVERSITY OF HOUSTON SYSTEM	240	0.253
SOUTHERN MARINE SCI ENGN GUANGDONG LAB ZHUHAI	239	0.252
UNIVERSITY OF GOTHENBURG	239	0.252
UNIVERSITY OF AUCKLAND	238	0.251
YALE UNIVERSITY	238	0.251
NATIONAL UNIVERSITY OF DEFENSE TECHNOLOGY CHINA	237	0.250
INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS INPE	236	0.249
NORWEGIAN METEOROLOGICAL INSTITUTE	235	0.247
NEW YORK UNIVERSITY	234	0.246
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL	234	0.246
ABERYSTWYTH UNIVERSITY	233	0.245
RESEARCH ORGANIZATION OF INFORMATION SYSTEMS ROIS	233	0.245
WAGENINGEN UNIVERSITY RESEARCH	233	0.245
KOREA POLAR RESEARCH INSTITUTE KOPRI	232	0.244
INDIAN NATIONAL CENTRE FOR OCEAN INFORMATION SERVICES INCOIS	231	0.243
BOSTON UNIVERSITY	230	0.242
INDIAN INSTITUTE OF SCIENCE IISC BANGALORE	230	0.242
JAPAN METEOROLOGICAL AGENCY	230	0.242
UIT THE ARCTIC UNIVERSITY OF TROMSO	230	0.242
UNIVERSITY OF GRANADA	227	0.239
ACADEMIA SINICA TAIWAN	226	0.238
ARIZONA STATE UNIVERSITY	226	0.238
NASA LANGLEY RESEARCH CENTER	224	0.236
NERC BRITISH GEOLOGICAL SURVEY	224	0.236
BANGOR UNIVERSITY	223	0.235
INSTITUTE OF GEOLOGY GEOPHYSICS CAS	223	0.235
UNITED STATES ARMY	223	0.235
UNIVERSITY OF MINNESOTA SYSTEM	223	0.235
PURDUE UNIVERSITY SYSTEM	221	0.233
NATIONAL INSTITUTE OF POLAR RESEARCH NIPR JAPAN	220	0.232
UNIVERSITY OF ADELAIDE	220	0.232
CHINA EARTHQUAKE ADMINISTRATION	219	0.231
ARIZONA STATE UNIVERSITY TEMPE	217	0.229
INSTITUTE OF MARINE RESEARCH NORWAY	216	0.227
NATIONAL CENTRE FOR POLAR AND OCEAN RESEARCH NCPOR	216	0.227
PURDUE UNIVERSITY	216	0.227
KING ABDULLAH UNIVERSITY OF SCIENCE TECHNOLOGY	215	0.226
PURDUE UNIVERSITY WEST LAFAYETTE CAMPUS	215	0.226
U S ARMY CORPS OF ENGINEERS	215	0.226
GHENT UNIVERSITY	214	0.225
MCGILL UNIVERSITY	214	0.225
UNIVERSIDAD DE CANTABRIA	214	0.225
UNIVERSIDADE DO PORTO	213	0.224
CTR NATL ETUD SPATIALES	212	0.223
CARDIFF UNIVERSITY	211	0.222
GEORGE MASON UNIVERSITY	209	0.220
MERCATOR OCEAN	207	0.218
STATE UNIVERSITY OF NEW YORK SUNY STONY BROOK	207	0.218
BEIHANG UNIVERSITY	205	0.216
UNIVERSITY OF TEHRAN	205	0.216
U S ARMY ENGINEER RESEARCH DEVELOPMENT CENTER ERDC	204	0.215
UNIVERSITY OF LEICESTER	204	0.215
HONG KONG POLYTECHNIC UNIVERSITY	201	0.212
SHANGHAI JIAO TONG UNIVERSITY	201	0.212
UNIVERSITY OF GEORGIA	201	0.212
GEOSCIENCE AUSTRALIA	200	0.211
INDIAN INSTITUTE OF TECHNOLOGY IIT KHARAGPUR	200	0.211
COMPLUTENSE UNIVERSITY OF MADRID	199	0.210
VRIJE UNIVERSITEIT BRUSSEL	199	0.210
WILLIAM MARY	199	0.210
TECHNISCHE UNIVERSITAT DRESDEN	198	0.208
UNIVERSITE CATHOLIQUE LOUVAIN	198	0.208
UNIVERSITY OF CHICAGO	198	0.208
MONTEREY BAY AQUARIUM RESEARCH INSTITUTE	197	0.207
UNIVERSITY OF MASSACHUSETTS AMHERST	196	0.206
PACIFIC NORTHWEST NATIONAL LABORATORY	194	0.204
NATIONAL CHENG KUNG UNIVERSITY	193	0.203
UNIVERSITY OF ILLINOIS URBANA CHAMPAIGN	193	0.203
UNIVERSITY OF MINNESOTA TWIN CITIES	193	0.203
FREE UNIVERSITY OF BERLIN	191	0.201
OBSERVATOIRE DE LA COTE D AZUR	191	0.201
SWISS FEDERAL INSTITUTE FOR FOREST SNOW LANDSCAPE RESEARCH	189	0.199
DANISH METEOROLOGICAL INSTITUTE DMI	188	0.198
FISHERIES RESEARCH AGENCY JAPAN	188	0.198
PARTHENOPE UNIVERSITY NAPLES	188	0.198
UNIVERSIDADE DE VIGO	188	0.198
POTSDAM INSTITUT FUR KLIMAFOLGENFORSCHUNG	187	0.197
TIANJIN UNIVERSITY	187	0.197
UNIVERSITY OF OTTAWA	187	0.197
UNIVERSITY OF PADUA	186	0.196
VIRGINIA INSTITUTE OF MARINE SCIENCE	186	0.196
